Time,Name,Type,MsgType,Text
2023-08-22 06:19:33.283,Connection,EFEM,Normal,Opned.
2023-08-22 13:04:21.119,Connection,EFEM,Normal,Opned.
2023-08-22 13:04:53.569,Connection,EFEM,Normal,Opned.
2023-08-22 13:06:34.456,Connection,EFEM,Normal,Opned.
2023-08-22 13:37:14.583,Connection,EFEM,Normal,Opned.
2023-08-22 13:40:57.334,Connection,EFEM,Normal,Opned.
2023-08-22 13:43:01.043,Connection,EFEM,Normal,Opned.
2023-08-22 13:44:15.812,Connection,EFEM,Normal,Opned.
2023-08-22 13:47:33.959,Connection,EFEM,Normal,Opned.
2023-08-22 13:59:33.143,Connection,EFEM,Normal,Opned.
2023-08-22 19:42:50.482,Connection,EFEM,Normal,Opned.
2023-08-22 20:05:33.790,Connection,EFEM,Normal,Opned.
2023-08-22 20:54:59.852,Connection,EFEM,Normal,Opned.
2023-08-22 20:56:31.398,Connection,EFEM,Normal,Opned.
2023-08-22 20:57:17.504,Connection,EFEM,Normal,Opned.
2023-08-22 20:57:42.072,Connection,EFEM,Normal,Opned.
2023-08-22 20:58:02.361,Connection,EFEM,Normal,Opned.
2023-08-22 21:33:09.446,Connection,EFEM,Normal,Opned.
2023-08-22 21:48:19.851,Connection,EFEM,Normal,Opned.
2023-08-22 21:49:31.953,Connection,EFEM,Normal,Opned.
2023-08-22 21:50:12.407,Connection,EFEM,Normal,Opned.
2023-08-22 21:55:00.837,Connection,EFEM,Normal,Opned.
2023-08-22 22:00:09.408,Connection,EFEM,Normal,Opned.
2023-08-22 22:04:10.842,Connection,EFEM,Normal,Opned.
2023-08-22 23:28:38.418,Connection,EFEM,Normal,Opned.
2023-08-22 23:38:50.998,Connection,EFEM,Normal,Opned.
2023-08-22 23:41:52.349,Connection,EFEM,Normal,Opned.
