Time,Name,Type,MsgType,Text
2023-08-22 06:19:33.279,,System,Normal,CIM has been executed..
2023-08-22 06:19:33.802,,System,Normal,Start MasterPLC Thread..
2023-08-22 06:19:33.916,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 06:19:39.035,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 06:19:44.152,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 06:19:49.273,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 06:19:54.387,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 06:19:59.502,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-22 13:04:21.119,,System,Normal,CIM has been executed..
2023-08-22 13:04:22.109,,System,Normal,Start MasterPLC Thread..
2023-08-22 13:04:24.342,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 100.100.100.10:8192]
2023-08-22 13:04:31.721,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 100.100.100.10:8192]
2023-08-22 13:04:53.592,,System,Normal,CIM has been executed..
2023-08-22 13:04:54.276,,System,Normal,Start MasterPLC Thread..
2023-08-22 13:04:56.510,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 100.100.100.10:8192]
2023-08-22 13:06:34.621,,System,Normal,CIM has been executed..
2023-08-22 13:06:36.464,,System,Normal,Start MasterPLC Thread..
2023-08-22 13:06:36.579,,System,Normal,MasterPLC connected..
2023-08-22 13:37:14.583,,System,Normal,CIM has been executed..
2023-08-22 13:37:15.380,,System,Normal,Start MasterPLC Thread..
2023-08-22 13:37:15.487,,System,Normal,MasterPLC connected..
2023-08-22 13:37:15.720,,System,Error,소스 배열의 길이가 짧습니다. srcIndex. length 및 배열의 하한을 확인하십시오.
2023-08-22 13:37:15.932,,System,Error,소스 배열의 길이가 짧습니다. srcIndex. length 및 배열의 하한을 확인하십시오.
2023-08-22 13:37:16.148,,System,Error,소스 배열의 길이가 짧습니다. srcIndex. length 및 배열의 하한을 확인하십시오.
2023-08-22 13:37:16.374,,System,Error,소스 배열의 길이가 짧습니다. srcIndex. length 및 배열의 하한을 확인하십시오.
2023-08-22 13:37:16.602,,System,Error,소스 배열의 길이가 짧습니다. srcIndex. length 및 배열의 하한을 확인하십시오.
