Time,Name,Type,MsgType,Text
2023-08-23 00:31:42.270,Connection,EFEM,Normal,Opned.
2023-08-23 00:34:09.395,Connection,EFEM,Normal,Opned.
2023-08-23 00:41:49.916,Connection,EFEM,Normal,Opned.
2023-08-23 00:43:46.669,Connection,EFEM,Normal,Opned.
2023-08-23 00:47:26.814,Connection,EFEM,Normal,Opned.
2023-08-23 00:50:49.659,Connection,EFEM,Normal,Opned.
2023-08-23 00:55:44.609,Connection,EFEM,Normal,Opned.
2023-08-23 03:56:31.296,Connection,EFEM,Normal,Opned.
2023-08-23 03:57:46.196,Connection,EFEM,Normal,Opned.
2023-08-23 03:59:30.839,Connection,EFEM,Normal,Opned.
2023-08-23 04:02:34.876,Connection,EFEM,Normal,Opned.
2023-08-23 04:04:49.263,Connection,EFEM,Normal,Opned.
2023-08-23 04:10:48.152,Connection,EFEM,Normal,Opned.
2023-08-23 04:14:09.860,Connection,EFEM,Normal,Opned.
2023-08-23 04:19:54.185,Connection,EFEM,Normal,Opned.
2023-08-23 04:31:30.168,Connection,EFEM,Normal,Opned.
2023-08-23 04:32:47.476,Connection,EFEM,Normal,Opned.
2023-08-23 07:07:13.388,Connection,EFEM,Normal,Opned.
2023-08-23 08:20:59.803,Connection,EFEM,Normal,Opned.
2023-08-23 08:40:21.590,Connection,EFEM,Normal,Opned.
2023-08-23 08:45:14.323,Connection,EFEM,Normal,Opned.
2023-08-23 10:17:34.927,Connection,EFEM,Normal,Opned.
2023-08-23 10:36:10.993,Connection,EFEM,Normal,Opned.
2023-08-23 10:41:46.239,Connection,EFEM,Normal,Opned.
2023-08-23 10:59:04.415,Connection,EFEM,Normal,Opned.
2023-08-23 12:52:04.327,Connection,EFEM,Normal,Opned.
2023-08-23 13:54:23.870,Connection,EFEM,Normal,Opned.
2023-08-23 14:02:20.642,Connection,EFEM,Normal,Opned.
2023-08-23 14:05:52.755,Connection,EFEM,Normal,Opned.
2023-08-23 14:09:44.485,Connection,EFEM,Normal,Opned.
2023-08-23 14:44:13.809,Connection,EFEM,Normal,Opned.
2023-08-23 15:50:13.050,Connection,EFEM,Normal,Opned.
2023-08-23 15:55:01.177,Connection,EFEM,Normal,Opned.
2023-08-23 15:55:26.808,Connection,EFEM,Normal,Opned.
2023-08-23 16:07:27.396,Connection,EFEM,Normal,Opned.
2023-08-23 16:30:13.878,Connection,EFEM,Normal,Opned.
2023-08-23 16:40:10.514,Connection,EFEM,Normal,Opned.
2023-08-23 16:58:04.696,Connection,EFEM,Normal,Opned.
2023-08-23 17:20:12.314,Connection,EFEM,Normal,Opned.
2023-08-23 17:36:21.448,Connection,EFEM,Normal,Opned.
2023-08-23 17:36:47.465,Connection,EFEM,Normal,Opned.
2023-08-23 17:37:13.768,Connection,EFEM,Normal,Opned.
2023-08-23 17:59:29.518,Connection,EFEM,Normal,Opned.
2023-08-23 18:10:20.482,Connection,EFEM,Normal,Opned.
2023-08-23 18:33:20.462,Connection,EFEM,Normal,Opned.
2023-08-23 18:59:45.510,Connection,EFEM,Normal,Opned.
2023-08-23 19:07:11.089,Connection,EFEM,Normal,Opned.
2023-08-23 19:08:47.034,Connection,EFEM,Normal,Opned.
