Time,Name,Type,MsgType,Text
2023-08-29 16:31:59.198,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 16:32:00.883,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 16:32:04.244,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 16:32:07.603,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 16:32:10.975,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 16:32:12.653,PIOStep_Unload,EFEM_PIO,Normal,RobotBusyCheck
2023-08-29 16:32:14.323,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteOnCheck
2023-08-29 16:32:16.002,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteConfirmOn
2023-08-29 16:47:01.271,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 16:47:02.952,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 16:47:06.329,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 16:47:09.694,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 16:47:13.058,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 16:51:35.407,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 16:51:37.104,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 16:51:40.464,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 16:51:43.806,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 16:51:47.143,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 17:45:34.524,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 17:45:36.177,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 17:45:39.525,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 17:45:42.857,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 17:45:46.189,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 18:14:51.712,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 18:14:53.384,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 18:14:56.735,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 18:15:00.075,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 18:15:03.408,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 18:55:45.609,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 18:55:47.324,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 18:55:50.716,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 18:55:54.047,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 18:55:57.388,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 18:55:59.052,PIOStep_Unload,EFEM_PIO,Normal,RobotBusyCheck
2023-08-29 18:56:00.725,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteOnCheck
2023-08-29 18:56:02.398,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteConfirmOn
2023-08-29 19:04:52.870,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 19:04:54.567,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 19:04:57.993,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 19:05:01.390,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 19:05:04.722,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 19:09:31.848,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 19:09:33.513,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 19:09:36.871,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 19:09:40.207,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 19:09:43.557,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 19:33:57.735,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 19:33:59.403,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 19:34:02.760,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 19:34:06.097,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 19:34:09.441,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 19:42:42.290,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 19:42:42.968,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 19:42:44.356,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 19:42:45.708,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
2023-08-29 19:42:47.064,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOnCheck
2023-08-29 19:42:55.762,PIOStep_Unload,EFEM_PIO,Normal,RobotBusyCheck
2023-08-29 19:42:56.430,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteOnCheck
2023-08-29 19:43:05.134,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteConfirmOn
2023-08-29 19:47:13.875,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteOffCheck
2023-08-29 19:47:14.547,PIOStep_Unload,EFEM_PIO,Normal,UnloadCompleteConfirmOff
2023-08-29 19:47:15.899,PIOStep_Unload,EFEM_PIO,Normal,UnloadInterlockOffCheck
2023-08-29 19:47:21.249,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOff
2023-08-29 19:47:22.601,PIOStep_Unload,EFEM_PIO,Normal,Completed
2023-08-29 19:47:23.977,PIOStep_Unload,EFEM_PIO,Normal,None
2023-08-29 19:49:42.256,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReport
2023-08-29 19:49:42.963,PIOStep_Unload,EFEM_PIO,Normal,GlassDataReportOn
2023-08-29 19:49:44.381,PIOStep_Unload,EFEM_PIO,Normal,UnloadReqOn
2023-08-29 19:49:45.732,PIOStep_Unload,EFEM_PIO,Normal,UnloadEnableOn
