Time,Name,Type,MsgType,Text
2023-08-23 00:31:42.600,,System,Normal,CIM has been executed..
2023-08-23 00:31:43.195,,System,Normal,Start MasterPLC Thread..
2023-08-23 00:31:43.307,,System,Normal,MasterPLC connected..
2023-08-23 00:31:43.797,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 00:31:43.818,,Host,Normal,HSMS Connection Selected.
2023-08-23 00:34:09.509,,System,Normal,CIM has been executed..
2023-08-23 00:34:09.851,,System,Normal,Start MasterPLC Thread..
2023-08-23 00:34:09.957,,System,Normal,MasterPLC connected..
2023-08-23 00:34:19.018,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 00:34:19.040,,Host,Normal,HSMS Connection Selected.
2023-08-23 00:34:47.234,,Booth,Normal,Set TowerLamp 2[1]. by host
2023-08-23 00:34:47.284,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:34:56.534,,Booth,Normal,Set TowerLamp 2[1]. by host
2023-08-23 00:34:56.550,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:35:11.855,,Booth,Normal,Set TowerLamp 1[1]. by host
2023-08-23 00:35:11.871,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:35:14.331,,Booth,Normal,Set TowerLamp 1[1]. by host
2023-08-23 00:35:14.346,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:35:20.450,,Booth,Error,Set TowerLamp fail. Status[1]
2023-08-23 00:35:20.451,,Booth,Error,Command[SignalTower] Retry over
2023-08-23 00:35:23.571,,Booth,Error,Set TowerLamp fail. Status[1]
2023-08-23 00:35:23.572,,Booth,Error,Command[SignalTower] Retry over
2023-08-23 00:35:25.405,,Booth,Error,Set TowerLamp fail. Status[1]
2023-08-23 00:35:25.406,,Booth,Error,Command[SignalTower] Retry over
2023-08-23 00:36:55.501,,Booth,Error,Set TowerLamp fail. Status[1]
2023-08-23 00:36:55.503,,Booth,Error,Command[SignalTower] Retry over
2023-08-23 00:37:05.923,,Booth,Normal,Set TowerLamp 3[1]. by host
2023-08-23 00:37:05.938,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:37:11.510,,Booth,Normal,Set TowerLamp 3[1]. by host
2023-08-23 00:37:11.526,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:37:18.748,,Booth,Normal,Set TowerLamp 2[1]. by host
2023-08-23 00:37:18.763,,Booth,Normal,I/F TowerLamp Bit On. by host
2023-08-23 00:38:20.110,,Booth,Normal,Set TerminalMessage TID[0] Message[123]. by host
2023-08-23 00:38:20.125,,Booth,Normal,I/F TerminalMessage Bit On. by host
2023-08-23 00:38:30.075,,Booth,Normal,Set TerminalMessage TID[0] Message[123]. by host
2023-08-23 00:38:30.090,,Booth,Normal,I/F TerminalMessage Bit On. by host
