Time,Name,Type,MsgType,Text
2023-08-25 06:26:00.757,Connection,EFEM,Normal,Opned.
2023-08-25 06:27:12.428,Connection,EFEM,Normal,Opned.
2023-08-25 06:29:37.265,Connection,EFEM,Normal,Opned.
2023-08-25 08:45:25.810,Connection,EFEM,Normal,Opned.
2023-08-25 10:31:02.915,Connection,EFEM,Normal,Opned.
2023-08-25 10:33:53.102,Connection,EFEM,Normal,Opned.
2023-08-25 10:34:27.117,Connection,EFEM,Normal,Opned.
2023-08-25 11:11:46.715,Connection,EFEM,Normal,Opned.
2023-08-25 11:14:00.382,Connection,EFEM,Normal,Opned.
2023-08-25 11:15:06.096,Connection,EFEM,Normal,Opned.
2023-08-25 11:30:01.587,Connection,EFEM,Normal,Opned.
2023-08-25 11:34:53.502,Connection,EFEM,Normal,Opned.
2023-08-25 11:37:40.042,Connection,EFEM,Normal,Opned.
2023-08-25 16:37:55.003,Connection,EFEM,Normal,Opned.
2023-08-25 16:40:01.875,Connection,EFEM,Normal,Opned.
2023-08-25 16:40:57.229,Connection,EFEM,Normal,Opned.
2023-08-25 16:41:10.533,Connection,EFEM,Normal,Opned.
2023-08-25 16:41:46.764,Connection,EFEM,Normal,Opned.
2023-08-25 16:42:23.155,Connection,EFEM,Normal,Opned.
2023-08-25 16:43:18.665,Connection,EFEM,Normal,Opned.
2023-08-25 16:44:00.288,Connection,EFEM,Normal,Opned.
2023-08-25 16:44:18.672,Connection,EFEM,Normal,Opned.
2023-08-25 16:45:15.819,Connection,EFEM,Normal,Opned.
2023-08-25 16:46:19.633,Connection,EFEM,Normal,Opned.
2023-08-25 16:46:46.033,Connection,EFEM,Normal,Opned.
2023-08-25 16:50:30.250,Connection,EFEM,Normal,Opned.
2023-08-25 16:50:45.692,Connection,EFEM,Normal,Opned.
2023-08-25 16:53:26.817,Connection,EFEM,Normal,Opned.
2023-08-25 16:54:24.688,Connection,EFEM,Normal,Opned.
2023-08-25 16:57:31.024,Connection,EFEM,Normal,Opned.
2023-08-25 16:58:53.879,Connection,EFEM,Normal,Opned.
2023-08-25 16:59:18.564,Connection,EFEM,Normal,Opned.
2023-08-25 17:00:45.425,Connection,EFEM,Normal,Opned.
2023-08-25 17:01:25.766,Connection,EFEM,Normal,Opned.
2023-08-25 17:02:27.738,Connection,EFEM,Normal,Opned.
2023-08-25 17:03:02.044,Connection,EFEM,Normal,Opned.
2023-08-25 17:04:18.587,Connection,EFEM,Normal,Opned.
2023-08-25 17:04:52.722,Connection,EFEM,Normal,Opned.
2023-08-25 17:05:27.304,Connection,EFEM,Normal,Opned.
2023-08-25 17:07:30.422,Connection,EFEM,Normal,Opned.
2023-08-25 17:09:53.989,Connection,EFEM,Normal,Opned.
2023-08-25 17:11:09.945,Connection,EFEM,Normal,Opned.
2023-08-25 17:12:03.730,Connection,EFEM,Normal,Opned.
2023-08-25 17:12:50.620,Connection,EFEM,Normal,Opned.
2023-08-25 17:16:02.888,Connection,EFEM,Normal,Opned.
2023-08-25 17:16:29.516,Connection,EFEM,Normal,Opned.
2023-08-25 17:17:57.383,Connection,EFEM,Normal,Opned.
2023-08-25 17:19:34.812,Connection,EFEM,Normal,Opned.
2023-08-25 17:20:41.947,Connection,EFEM,Normal,Opned.
2023-08-25 17:20:56.212,Connection,EFEM,Normal,Opned.
2023-08-25 17:21:14.409,Connection,EFEM,Normal,Opned.
2023-08-25 17:21:50.096,Connection,EFEM,Normal,Opned.
2023-08-25 17:22:38.109,Connection,EFEM,Normal,Opned.
2023-08-25 17:23:11.100,Connection,EFEM,Normal,Opned.
2023-08-25 17:23:49.775,Connection,EFEM,Normal,Opned.
2023-08-25 17:26:58.579,Connection,EFEM,Normal,Opned.
2023-08-25 17:28:56.024,Connection,EFEM,Normal,Opned.
2023-08-25 17:33:03.913,Connection,EFEM,Normal,Opned.
2023-08-25 17:35:18.491,Connection,EFEM,Normal,Opned.
2023-08-25 17:38:04.939,Connection,EFEM,Normal,Opned.
2023-08-25 17:39:32.721,Connection,EFEM,Normal,Opned.
2023-08-25 17:42:48.273,Connection,EFEM,Normal,Opned.
