Time,Name,Type,MsgType,Text
2023-08-26 10:56:30.361,PIOStep_IP01_Load,EFEM_PIO,Normal,EnableOn
2023-08-26 10:56:31.136,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteOnCheck
2023-08-26 10:57:18.335,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteConfirmOn
2023-08-26 10:57:19.503,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteOffCheck
2023-08-26 10:59:05.654,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteConfirmOff
2023-08-26 11:03:56.767,PIOStep_IP01_Load,EFEM_PIO,Normal,EnableOff
2023-08-26 11:04:35.201,PIOStep_IP01_Load,EFEM_PIO,Normal,Completed
2023-08-26 11:04:35.583,PIOStep_IP01_Load,EFEM_PIO,Normal,None
2023-08-26 17:23:51.214,PIOStep_IP01_Load,EFEM_PIO,Normal,EnableOn
2023-08-26 17:23:51.624,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteOnCheck
2023-08-26 17:24:38.978,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteConfirmOn
2023-08-26 17:24:39.576,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteOffCheck
2023-08-26 17:24:49.729,PIOStep_IP01_Load,EFEM_PIO,Normal,CompleteConfirmOff
2023-08-26 17:24:49.935,PIOStep_IP01_Load,EFEM_PIO,Normal,EnableOff
2023-08-26 17:26:58.917,PIOStep_IP01_Load,EFEM_PIO,Normal,Completed
2023-08-26 17:26:59.124,PIOStep_IP01_Load,EFEM_PIO,Normal,None
2023-08-26 17:59:12.047,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:12.234,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:12.406,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:12.594,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:12.797,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:12.984,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:13.173,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:13.376,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:13.563,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:13.735,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:13.938,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:14.110,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:14.298,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:14.485,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:14.673,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:14.860,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:15.048,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:15.235,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:15.438,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:15.626,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:15.813,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.001,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.189,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.392,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.580,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.768,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:16.955,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:17.159,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:17.331,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:17.534,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:17.706,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:17.879,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:18.067,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:18.255,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:18.443,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:18.630,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:18.818,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.021,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.210,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.398,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.601,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.773,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:19.977,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:20.149,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:20.338,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:20.525,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:20.714,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:20.903,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:21.106,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:21.295,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:21.482,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:21.656,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:21.845,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.033,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.221,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.408,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.580,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.784,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:22.972,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:23.159,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:23.347,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:23.519,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:23.707,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:23.910,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:24.082,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:24.285,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:24.457,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:24.660,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:24.832,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:25.035,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:25.207,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:25.394,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:25.582,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
2023-08-26 17:59:25.769,CheckPIO,EFEM_PIO,Normal,PLC Auto Off.. InitPIO_OP01
