Time,Name,Type,MsgType,Text
2023-08-24 20:32:03.613,,System,Normal,CIM has been executed..
2023-08-24 20:32:04.158,,System,Normal,Start MasterPLC Thread..
2023-08-24 20:32:04.264,,System,Normal,MasterPLC connected..
2023-08-24 20:32:11.760,,Host,Normal,HSMS Connected NotSelected.
2023-08-24 20:32:11.772,,Host,Normal,HSMS Connection Selected.
2023-08-24 21:19:47.447,,System,Normal,CIM has been executed..
2023-08-24 21:19:47.920,,System,Normal,Start MasterPLC Thread..
2023-08-24 21:19:48.032,,System,Normal,MasterPLC connected..
2023-08-24 21:19:49.284,,Host,Normal,HSMS Connected NotSelected.
2023-08-24 21:19:49.295,,Host,Normal,HSMS Connection Selected.
2023-08-24 21:20:58.121,,System,Normal,CIM has been executed..
2023-08-24 21:20:58.769,,System,Normal,Start MasterPLC Thread..
2023-08-24 21:20:58.883,,System,Normal,MasterPLC connected..
2023-08-24 21:21:01.205,,Host,Normal,HSMS Connected NotSelected.
2023-08-24 21:21:01.219,,Host,Normal,HSMS Connection Selected.
2023-08-24 21:21:52.015,,System,Normal,CIM has been executed..
2023-08-24 21:21:52.509,,System,Normal,Start MasterPLC Thread..
2023-08-24 21:21:52.613,,System,Normal,MasterPLC connected..
2023-08-24 21:22:02.578,,Host,Normal,HSMS Connected NotSelected.
2023-08-24 21:22:02.589,,Host,Normal,HSMS Connection Selected.
