Time,Name,Type,MsgType,Text
2023-08-30 07:30:24.601,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:30:51.037,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:30:56.161,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:31:01.274,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:31:06.392,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:31:11.508,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 07:31:16.629,,System,Error,MasterPLC Connect fail. [연결할 수 없는 호스트로 소켓 작업을 시도했습니다 100.100.100.10:8192]
2023-08-30 13:26:47.957,,System,Normal,CIM has been executed..
2023-08-30 13:26:48.623,,System,Normal,Start MasterPLC Thread..
2023-08-30 13:26:48.731,,System,Normal,MasterPLC connected..
2023-08-30 13:26:49.471,eTrackStep,RS04,Normal,moduleStart
2023-08-30 13:26:49.472,eTrackStep,UCV04,Normal,moduleStart
2023-08-30 13:26:49.473,eTrackStep,UCV05,Normal,moduleStart
2023-08-30 13:26:49.474,eTrackStep,OP01,Normal,moduleStart
2023-08-30 13:26:49.654,eTrackStep,UCV04,Normal,containOn
2023-08-30 13:26:49.661,eTrackStep,UCV05,Normal,containOn
2023-08-30 13:26:49.668,eTrackStep,OP01,Normal,containOn
2023-08-30 13:26:50.042,eTrackStep,UCV04,Normal,occupied
2023-08-30 13:26:50.043,eTrackStep,UCV05,Normal,occupied
2023-08-30 13:26:50.044,eTrackStep,OP01,Normal,occupied
2023-08-30 13:26:53.344,,Booth,Normal,Set EFEM PPID[]. by host
2023-08-30 13:26:53.364,eTrackStep,OP01,Normal,moduleStart
2023-08-30 13:26:53.536,eTrackStep,OP01,Normal,containOn
2023-08-30 13:26:53.874,eTrackStep,OP01,Normal,occupied
2023-08-30 13:26:54.213,eTrackStep,IP01,Normal,none
2023-08-30 13:26:54.292,eTrackStep,DEV01,Normal,none
2023-08-30 13:26:54.328,eTrackStep,RS01,Normal,none
2023-08-30 13:26:54.364,eTrackStep,RS02,Normal,none
2023-08-30 13:26:54.399,eTrackStep,RS03,Normal,none
2023-08-30 13:26:54.435,eTrackStep,RS04,Normal,none
2023-08-30 13:26:54.476,eTrackStep,RS05,Normal,none
2023-08-30 13:26:54.503,eTrackStep,AK01,Normal,none
2023-08-30 13:26:54.512,eTrackStep,BF01,Normal,none
2023-08-30 13:26:54.520,eTrackStep,LF01,Normal,none
2023-08-30 13:26:54.528,eTrackStep,UCV01,Normal,none
2023-08-30 13:26:54.536,eTrackStep,UCV02,Normal,none
2023-08-30 13:26:54.545,eTrackStep,UCV03,Normal,none
2023-08-30 13:26:54.553,eTrackStep,UCV04,Normal,none
